id	uf	municipio	total	quantidade	percentual
4082	RS	BOSSOROCA	202	146	17.82
4083	RS	BOZANO	62	51	16.13
4084	RS	BRAGA	122	103	14.75
4085	RS	BROCHIER	91	89	2.20
4086	RS	BUTIA	703	572	18.07
4087	RS	CACAPAVA DO SUL	1676	1381	16.77
4088	RS	CACEQUI	160	144	8.75
4089	RS	CACHOEIR DO SUL	1	1	0.00
4090	RS	CACHOEIRA DO SUL	2390	1955	16.07
4091	RS	CACHOEIRINHA	3989	3298	15.87
4092	RS	CACIQUE DOBLE	110	93	12.73
4093	RS	CAIBATE	131	112	12.21
4094	RS	CAICARA	156	142	8.97
4095	RS	CAMAQUA	2796	2348	15.34
4096	RS	CAMARGO	69	67	2.90
4097	RS	CAMBARA DO SUL	119	110	5.88
4098	RS	CAMPESTRE DA SERRA	95	81	10.53
4099	RS	CAMPINA DAS MISSOES	186	177	4.84
4100	RS	CAMPINAS DO SUL	169	146	10.65
4101	RS	CAMPO BOM	1398	1192	11.52
4102	RS	CAMPO NOVO	84	71	11.90
4103	RS	CAMPOS BORGES	88	83	3.41
4104	RS	CANDELARIA	511	438	13.70
4105	RS	CANDIDO GODOI	231	225	2.16
4106	RS	CANDIOTA	458	357	17.69
4107	RS	CANELA	597	491	16.75
4108	RS	CANGUCU	2146	1900	10.48
4109	RS	CANOAS	9622	7782	17.19
4110	RS	CANUDOS DO VALE	19	18	5.26
4111	RS	CAPAO BONITO DO SUL	55	47	3.64
4112	RS	CAPAO DA CANOA	1258	1092	12.56
4113	RS	CAPAO DO CIPO	84	75	10.71
4114	RS	CAPAO DO LEAO	1325	1054	19.09
4115	RS	CAPAODA CANOA	1	1	0.00
4116	RS	CAPELA DE SANTANA	176	146	15.91
4117	RS	CAPITAO	34	33	2.94
4118	RS	CAPIVARI DO SUL	111	86	17.12
4119	RS	CARAA	72	67	6.94
4120	RS	CARAZINHO	1674	1424	12.72
4121	RS	CARLOS BARBOSA	590	535	8.81
4122	RS	CARLOS GOMES	51	50	1.96
4123	RS	CASCA	281	249	9.61
4124	RS	CASEIROS	100	90	7.00
4125	RS	CATUIPE	270	224	15.56
4126	RS	CAXIAS DO SUL	8333	6540	18.01
4127	RS	CENTENARIO	79	75	2.53
4128	RS	CERRITO	163	129	19.02
4129	RS	CERRO BRANCO	109	99	9.17
4130	RS	CERRO GRANDE	51	47	5.88
4131	RS	CERRO GRANDE DO SUL	428	359	14.25
4132	RS	CERRO LARGO	730	585	18.49
4133	RS	CHAPADA	290	248	12.76
4134	RS	CHARQUEADAS	1138	960	14.32
4135	RS	CHARRUA	45	39	6.67
4136	RS	CHIAPETTA	123	108	10.57
4137	RS	CHUI	137	118	11.68
4138	RS	CHUVISCA	105	99	4.76
4139	RS	CIDREIRA	286	242	13.99
4140	RS	CIRIACO	161	134	14.91
4141	RS	COLINAS	20	18	5.00
4142	RS	COLORADO	65	58	10.77
4143	RS	CONDOR	235	162	27.66
4144	RS	CONSTANTINA	369	310	13.82
4145	RS	COQUEIRO BAIXO	19	19	0.00
4146	RS	COQUEIROS DO SUL	40	37	2.50
4147	RS	CORONEL BARROS	93	80	11.83
4148	RS	CORONEL BICACO	138	108	18.84
4149	RS	CORONEL PILAR	16	8	0.00
4150	RS	COTIPORA	75	71	4.00
4151	RS	COXILHA	42	37	7.14
4152	RS	CRISSIUMAL	354	332	4.24
4153	RS	CRISTAL	231	209	8.66
4154	RS	CRISTAL DO SUL	80	70	11.25
4155	RS	CRUZ ALTA	2181	1845	13.48
4156	RS	CRUZALTENSE	64	60	6.25
4157	RS	CRUZEIRO DO SUL	120	109	7.50
4158	RS	DAVID CANABARRO	183	166	8.20
4159	RS	DERRUBADAS	70	63	7.14
4160	RS	DEZESSEIS DE NOVEMBRO	71	63	11.27
4161	RS	DILERMANDO DE AGUIAR	40	37	2.50
4162	RS	DOIS IRMAOS	605	553	7.60
4163	RS	DOIS IRMAOS DAS MISSOES	26	19	26.92
4164	RS	DOIS LAJEADOS	81	66	4.94
4165	RS	DOM FELICIANO	348	296	12.64
4166	RS	DOM PEDRITO	2243	1895	14.31
4167	RS	DOM PEDRO DE ALCANTARA	73	70	2.74
